,车站,拼音,路局,地区,经度x,纬度x,id,经度,纬度,省,市,区
1306,梧州南,WU ZHOU NAN,中国铁路南宁局,广西壮族自治区 梧州市 苍梧县,110.3503,24.6322,4560142,111.2171805,23.39273088,广西壮族自治区,梧州市,苍梧县
1308,兴安北,XING AN BEI,中国铁路南宁局,广西壮族自治区 桂林市 兴安县,109.7966,26.9391,18870220,110.6717307,25.67748464,广西壮族自治区,桂林市,兴安县
1457,玉林,YU LIN,中国铁路南宁局,广西壮族自治区 玉林市 玉州区,109.2697,23.829,3780422,110.1526815,22.5972416,广西壮族自治区,玉林市,玉州区
1661,北流,BEI LIU,中国铁路南宁局,广西壮族自治区 玉林市 北流市,109.4374,23.9632,38500256,110.3178827,22.73015328,广西壮族自治区,玉林市,北流市
1748,岑溪,CEN XI,中国铁路南宁局,广西壮族自治区 梧州市 岑溪市,110.0732,24.138,37820655,110.9442093,22.9032752,广西壮族自治区,梧州市,岑溪市
1766,都安,DU AN,中国铁路南宁局,广西壮族自治区 河池市 都安瑶族自治县,107.1977,25.2125,99116982,108.1115543,23.96746,广西壮族自治区,河池市,都安瑶族自治县
1770,德保,DE BAO,中国铁路南宁局,广西壮族自治区 百色市 德保县,105.6904,24.5849,58980025,106.626713,23.34588496,广西壮族自治区,百色市,德保县
1892,富川,FU CHUAN,中国铁路南宁局,广西壮族自治区 贺州市 富川瑶族自治县,110.4923,26.0457,37640635,111.3570647,24.79266128,广西壮族自治区,贺州市,富川瑶族自治县
1920,扶绥南,FU SUI NAN,中国铁路南宁局,广西壮族自治区 崇左市 扶绥县,106.989,23.8073,97799736,107.9059639,22.57574992,广西壮族自治区,崇左市,扶绥县
1944,恭城,GONG CHENG,中国铁路南宁局,广西壮族自治区 桂林市 恭城瑶族自治县,109.994,26.0853,4130508,110.8661894,24.83188112,广西壮族自治区,桂林市,恭城瑶族自治县
1969,桂林西,GUI LIN XI,中国铁路南宁局,广西壮族自治区 桂林市 灵川县,109.3815,26.6146,4150330,110.2628157,25.35609984,广西壮族自治区,桂林市,灵川县
2093,合浦,HE PU,中国铁路南宁局,广西壮族自治区 北海市 合浦县,108.2867,22.8434,40580249,109.1843282,21.62110336,广西壮族自治区,北海市,合浦县
2254,康熙岭,KANG XI LING,中国铁路南宁局,广西壮族自治区 钦州市 钦南区,107.6165,23.1524,65590011,108.5241142,21.92713696,广西壮族自治区,钦州市,钦南区
2260,来宾,LAI BIN,中国铁路南宁局,广西壮族自治区 来宾市 兴宾区,108.3416,24.9728,15840563,109.2384102,23.73006112,广西壮族自治区,来宾市,兴宾区
2265,罗城,LUO CHENG,中国铁路南宁局,广西壮族自治区 河池市 罗城仫佬族自治县,108.2242,26.0959,22190000,109.1227594,24.84237936,广西壮族自治区,河池市,罗城仫佬族自治县
2302,柳江,LIU JIANG,中国铁路南宁局,广西壮族自治区 柳州市 柳江区,108.4152,25.5109,22290610,109.3109135,24.26299536,广西壮族自治区,柳州市,柳江区
2356,濑湍,LAI TUAN,中国铁路南宁局,广西壮族自治区 崇左市 江州区,106.5762,23.6756,5400389,107.4993146,22.44531424,广西壮族自治区,崇左市,江州区
2382,鹿寨北,LU ZHAI BEI,中国铁路南宁局,广西壮族自治区 柳州市 鹿寨县,108.7604,25.8928,37860888,109.65097,24.64122912,广西壮族自治区,柳州市,鹿寨县
2388,鹿寨,LU ZHAI,中国铁路南宁局,广西壮族自治区 柳州市 鹿寨县,108.8534,25.7304,19050044,109.7425843,24.48038816,广西壮族自治区,柳州市,鹿寨县
2407,马皇,MA HUANG,中国铁路南宁局,广西壮族自治区 钦州市 钦北区,107.7444,23.274,65620404,108.6501084,22.0475696,广西壮族自治区,钦州市,钦北区
2414,茅岭,MAO LING,中国铁路南宁局,广西壮族自治区 防城港市 防城区,107.5401,23.0713,65750806,108.4488525,21.84681552,广西壮族自治区,防城港市,防城区
2431,马山县,MA SHAN XIAN,中国铁路南宁局,广西壮族自治区 南宁市 马山县,107.2563,24.9867,99133656,108.1692811,23.74382768,广西壮族自治区,南宁市,马山县
2470,宁明,NING MING,中国铁路南宁局,广西壮族自治区 崇左市 宁明县,106.1315,23.3858,5460608,107.0612407,22.15829632,广西壮族自治区,崇左市,宁明县
2501,平果,PING GUO,中国铁路南宁局,广西壮族自治区 百色市 平果市,106.6409,24.5547,15100768,107.5630506,23.31597488,广西壮族自治区,百色市,平果市
2510,平南南,PING NAN NAN,中国铁路南宁局,广西壮族自治区 贵港市 平南县,109.5491,24.6565,4580501,110.4279184,23.4167976,广西壮族自治区,贵港市,平南县
2558,渠旧,QU JIU,中国铁路南宁局,广西壮族自治区 崇左市 扶绥县,106.6589,23.7461,5390641,107.5807824,22.51513744,广西壮族自治区,崇左市,扶绥县
2567,渠黎,QU LI,中国铁路南宁局,广西壮族自治区 崇左市 扶绥县,106.8715,23.7854,5370183,107.7902147,22.55406016,广西壮族自治区,崇左市,扶绥县
2608,钦州,QIN ZHOU,中国铁路南宁局,广西壮族自治区 钦州市 钦南区,107.7113,23.2098,40610351,108.6175016,21.98398592,广西壮族自治区,钦州市,钦南区
2621,融水,RONG SHUI,中国铁路南宁局,广西壮族自治区 柳州市 融水苗族自治县,108.3409,26.328,22150315,109.2377206,25.0722512,广西壮族自治区,柳州市,融水苗族自治县
2623,容县,RONG XIAN,中国铁路南宁局,广西壮族自治区 玉林市 容县,109.6504,24.0941,38520022,110.527709,22.85979664,广西壮族自治区,玉林市,容县
2789,田东北,TIAN DONG BEI,中国铁路南宁局,广西壮族自治区 百色市 田东县,106.2183,24.9196,58140168,107.1467473,23.67737184,广西壮族自治区,百色市,田东县
2790,田东,TIAN DONG,中国铁路南宁局,广西壮族自治区 百色市 田东县,106.1982,24.8692,15160394,107.1269468,23.62745568,广西壮族自治区,百色市,田东县
2808,亭亮,TING LIANG,中国铁路南宁局,广西壮族自治区 崇左市 宁明县,106.2579,23.4444,5440475,107.1857573,22.21633376,广西壮族自治区,崇左市,宁明县
2809,田林,TIAN LIN,中国铁路南宁局,广西壮族自治区 百色市 田林县,105.294,25.5309,15300465,106.2362194,24.28280336,广西壮族自治区,百色市,田林县
2830,藤县,TENG XIAN,中国铁路南宁局,广西壮族自治区 梧州市 藤县,110.1125,24.573,4570205,110.9829238,23.3340992,广西壮族自治区,梧州市,藤县
2833,田阳,TIAN YANG,中国铁路南宁局,广西壮族自治区 百色市 田阳区,106.0029,25.01,15190283,106.9345568,23.766904,广西壮族自治区,百色市,田阳区
2860,文地,WEN DI,中国铁路南宁局,广西壮族自治区 玉林市 博白县,109.3145,23.1738,3820674,110.196814,21.94833152,广西壮族自治区,玉林市,博白县
2907,五通,WU TONG,中国铁路南宁局,广西壮族自治区 桂林市 临桂区,109.202,26.6327,4160058,110.0859902,25.37402608,广西壮族自治区,桂林市,临桂区
2933,兴安,XING AN,中国铁路南宁局,广西壮族自治区 桂林市 兴安县,109.7874,26.8777,40920159,110.6626677,25.61667408,广西壮族自治区,桂林市,兴安县
2949,小董,XIAO DONG,中国铁路南宁局,广西壮族自治区 钦州市 钦北区,107.6964,23.4515,65610770,108.6028236,22.2233656,广西壮族自治区,钦州市,钦北区
3008,夏石,XIA SHI,中国铁路南宁局,广西壮族自治区 崇左市 凭祥市,105.97,23.3457,5480738,106.902147,22.11858128,广西壮族自治区,崇左市,凭祥市
3040,兴业,XING YE,中国铁路南宁局,广西壮族自治区 玉林市 兴业县,109.017,23.9717,3760110,109.9037467,22.73857168,广西壮族自治区,玉林市,兴业县
3058,永安镇,YONG AN ZHEN,中国铁路南宁局,广西壮族自治区 河池市 都安瑶族自治县,107.1346,25.5345,99100308,108.0493945,24.2863688,广西壮族自治区,河池市,都安瑶族自治县
3088,永福南,YONG FU NAN,中国铁路南宁局,广西壮族自治区 桂林市 永福县,109.1091,26.2544,37850248,109.9944744,24.99935776,广西壮族自治区,桂林市,永福县
